Distrito,latitude,longitude
Grajaú,-23.76515,-46.695327
Jardim Ângela,-23.720471,-46.771372
Sapopemba,-23.605114,-46.509945
Capão Redondo,-23.63236,-47.60913
Jardim São Luís,-23.657646,-46.730065
Cidade Ademar,-23.675647,-46.658515
Brasilândia,-23.446197,-46.690515
Sacomã,-23.628473,-46.596345
Itaim Paulista,-23.503347,-46.386057
Jabaquara,-23.650115,-46.636999
Cidade Tiradentes,-23.586108,-46.399238
Campo Limpo,-23.20657,-46.7832
Itaquera,-23.532129,-46.455001
Tremembé,-23.445445,-46.616941
Cidade Dutra,-23.705443,-46.697592
Jaraguá,-23.446377,-46.738893
Lajeado,-22.33333,-47.36667
Pirituba,-23.65274,-47.33353
São Mateus,-23.598783,-46.481609
Vila Curuçá,-23.508457,-46.416989
Pedreira,-23.691926,-46.656794
São Rafael,-23.627563,-46.45348
Cachoeirinha,-29.937858,-51.099118
Vila Jacuí,-23.506972,-46.457476
São Lucas,-23.589957,-46.545047
Freguesia do Ó,-23.494234,-46.694375
Cangaíba,-23.497669,-46.515859
Jardim Helena,-23.483724,-46.41553
Parelheiros,-23.828509,-46.722278
Saúde,-23.617188,-46.639156
Vila Mariana,-23.58333,-46.63333
Vila Medeiros,-23.485687,-46.576182
Penha,-23.523057,-46.528776
Iguatemi,-23.331792,-46.605373
Vila Andrade,-23.625842,-46.731499
Cidade Líder,-23.564687,-46.493885
José Bonifácio,-23.543561,-46.435409
Santana,-21.858442,-50.689461
Rio Pequeno,-23.567966,-46.756558
Ermelino Matarazzo,-23.491075,-46.484096
Vila Maria,-23.510593,-46.582241
Perdizes,-23.547776,-46.685064
Cursino,-23.641841,-46.627457
Vila Sônia,-23.602619,-46.744049
Mandaqui,-23.466075,-46.639446
Ipiranga,-23.589553,-46.610024
Artur Alvim,-23.540079,-46.484382
Vila Matilde,-23.539314,-46.511754
Vila Prudente,-23.603691,-46.573945
Guaianases,-23.54333,-46.41083
Campo Grande,-23.96437,-46.342263
Raposo Tavares,-23.590748,-46.785893
Tucuruvi,-23.482353,-46.607223
Vila Formosa,-23.565362,-46.536839
Jaçanã,-23.464817,-46.577574
Ponte Rasa,-23.516719,-46.487338
Itaim Bibi,-23.607536,-46.689417
São Miguel Paulista,-22.511326,-44.897834
Tatuapé,-23.532777,-46.563345
Aricanduva,-23.574544,-46.514617
Jardim Paulista,-23.566634,-46.665608
Casa Verde,-23.501639,-46.655586
Água Rasa,-23.560308,-46.569953
São Domingos,-23.496191,-46.744665
Santa Cecília,-23.536365,-46.64872
Moema,-23.593487,-46.657321
Carrão,-22.593151,-47.467893
Limão,-23.497949,-46.675597
Perus,-23.406959,-46.756439
Santo Amaro,-23.63725,-46.712218
Bela Vista,-23.560218,-46.651418
Liberdade,-23.564606,-46.641704
Parque do Carmo,-23.577131,-46.460937
Anhanguera,-23.430737,-46.790321
Lapa,-23.530216,-46.706873
Pinheiros,-23.573551,-46.685468
Mooca,-23.556875,-46.597011
Campo Belo,-23.632081,-46.661735
Consolação,-23.552855,-46.659424
Vila Guilherme,-23.508458,-46.607089
Butantã,-23.570418,-46.723484
República,-23.547151,-46.641648
Jaguaré,-23.549319,-46.737521
Morumbi,-23.599862,-46.718229
Belém,-23.537956,-46.596343
Alto de Pinheiros,-23.552845,-46.708677
Vila Leopoldina,-23.525399,-46.732513
Socorro,-23.690194,-46.701098
Cambuci,-23.574231,-46.613481
Bom Retiro,-23.527942,-46.634142
Brás,-23.543852,-46.625339
Jaguara,-23.501534,-46.736998
Sé,-23.547955,-46.63494
Pari,-23.527765,-46.624292
Barra Funda,-23.525198,-46.669709
Marsilac,-23.8752,-46.746997
